title,text,source,added_by
Карлсон: Возвращение,Повзрослевший Малыш и пенсионер Карлсон отправляются на поиски новых приключений.,https://example.com/karlson,Киноклуб
Матрица,Синий или красный — выбор за вами. Симуляция ждёт.,https://example.com/matrix,Анна
Интерстеллар,Любовь — это единственное что мы можем воспринимать сквозь измерения.,https://example.com/interstellar,Борис
Криминальное чтиво,Гамбургер Роя Кейла меняет взгляд на диалоги в кино.,https://example.com/pulp,Киноклуб
Начало,Сон внутри сна — и вы до сих пор не уверены где реальность.,https://example.com/inception,
Тёмный рыцарь,Джокер не хаос ради хаоса — он зеркало.,https://example.com/darkknight,Вера
Амели,Маленькие радости Парижа важнее большого счастья.,https://example.com/amelie,Киноклуб
Паразиты,Лестница в доме — лучшая метафора классового разрыва.,https://example.com/parasite,Глеб
Дюна,Пустыня не прощает ошибок — и это красиво.,,Киноклуб
Бегущий по лезвию 2049,Воспоминания можно купить но смысл приходится искать самому.,https://example.com/blade,Киноклуб
